[2018-05-18 10:43:24] [INFO] 92, 插入一条repertory信息到数据仓库, id: 89644, name: 排庄泥钉
[2018-05-18 10:43:24] [INFO] 93, 插入一条repertory信息到数据仓库, id: 35703, name: 百事可乐（罐）330ml
[2018-05-18 10:43:24] [INFO] 94, 插入一条repertory信息到数据仓库, id: 16006, name: 可口可乐330mL摩登罐
[2018-05-18 10:43:24] [INFO] 95, 插入一条repertory信息到数据仓库, id: 16086, name: 广式蒸面
[2018-05-18 10:43:24] [INFO] 96, 插入一条repertory信息到数据仓库, id: 45752, name: 伊利冷饮老冰棍棒冰 85g
[2018-05-18 10:43:24] [INFO] 97, 插入一条repertory信息到数据仓库, id: 79447, name: 小胶袋
[2018-05-18 10:43:24] [INFO] 98, 插入一条repertory信息到数据仓库, id: 22682, name: 饮用天然矿泉水
[2018-05-18 10:43:25] [INFO] 99, 插入一条repertory信息到数据仓库, id: 63927, name: 康师傅矿物质水1.5L
[2018-05-18 10:43:25] [INFO] 100, 插入一条repertory信息到数据仓库, id: 89645, name: 蔓越莓沙琪玛
[2018-05-18 10:43:25] [INFO] 101, 插入一条repertory信息到数据仓库, id: 33195, name: 红塔山 硬经典
[2018-05-18 10:43:25] [INFO] 102, 插入一条repertory信息到数据仓库, id: 65747, name: 
[2018-05-18 10:43:25] [INFO] 103, 插入一条repertory信息到数据仓库, id: 58415, name: 
[2018-05-18 10:43:25] [INFO] 104, 插入一条repertory信息到数据仓库, id: 46790, name: 玉溪
[2018-05-18 10:43:25] [INFO] 105, 插入一条repertory信息到数据仓库, id: 70193, name: 洁柔百花香餐巾纸 1*12
[2018-05-18 10:43:25] [INFO] 106, 插入一条repertory信息到数据仓库, id: 16763, name: 营养快线牛奶饮品（原味）500ml
[2018-05-18 10:43:25] [INFO] 107, 插入一条repertory信息到数据仓库, id: 76766, name: 广合335G腐乳
[2018-05-18 10:43:25] [INFO] 108, 插入一条repertory信息到数据仓库, id: 78065, name: 蒙牛绿豆
[2018-05-18 10:43:25] [INFO] 109, 插入一条repertory信息到数据仓库, id: 78250, name: 佰豆集奶香绿豆棒冰
[2018-05-18 10:43:25] [INFO] 110, 插入一条repertory信息到数据仓库, id: 79408, name: 玉米棒雪糕
[2018-05-18 10:43:25] [INFO] 111, 插入一条repertory信息到数据仓库, id: 85173, name: 粒豆捧冰 85g
[2018-05-18 10:43:25] [INFO] 112, 插入一条repertory信息到数据仓库, id: 46386, name: 黄鹤楼(硬红)20支
[2018-05-18 10:43:25] [INFO] 113, 插入一条repertory信息到数据仓库, id: 38889, name: 芙蓉王（硬）
[2018-05-18 10:43:25] [INFO] 114, 插入一条repertory信息到数据仓库, id: 36185, name: 芙蓉
[2018-05-18 10:43:25] [INFO] 115, 插入一条repertory信息到数据仓库, id: 39178, name: 健力宝橙蜜味运动饮料（含气型）560ml
[2018-05-18 10:43:25] [INFO] 116, 插入一条repertory信息到数据仓库, id: 46919, name: 饮用纯净水1.5L*6
[2018-05-18 10:43:25] [INFO] 117, 插入一条repertory信息到数据仓库, id: 7386, name: 双喜（硬金五叶神）
[2018-05-18 10:43:25] [INFO] 118, 插入一条repertory信息到数据仓库, id: 84184, name: 新奇士橙汁汽水500ml
[2018-05-18 10:43:25] [INFO] 119, 插入一条repertory信息到数据仓库, id: 47857, name: [148]景田百岁山天然矿泉水#
[2018-05-18 10:43:25] [INFO] 120, 插入一条repertory信息到数据仓库, id: 18791, name: 深层洁净护理洗衣液亮白增艳型（薰衣草）立袋500g
[2018-05-18 10:43:25] [INFO] 121, 插入一条repertory信息到数据仓库, id: 89646, name: 高露洁冰爽激凉牙膏120克
[2018-05-18 10:43:25] [INFO] 122, 插入一条repertory信息到数据仓库, id: 89647, name: 梦龙香草口味冰淇淋 64g
[2018-05-18 10:43:25] [INFO] 123, 插入一条repertory信息到数据仓库, id: 62289, name: 喜步佳
[2018-05-18 10:43:25] [INFO] 124, 插入一条repertory信息到数据仓库, id: 10079, name: 焕彩洁白牙刷
[2018-05-18 10:43:25] [INFO] 125, 插入一条repertory信息到数据仓库, id: 28845, name: 3122建立盖杯
[2018-05-18 10:43:25] [INFO] 126, 插入一条repertory信息到数据仓库, id: 81776, name: 冀南香香菇风味挂面
[2018-05-18 10:43:25] [INFO] 127, 插入一条repertory信息到数据仓库, id: 68927, name: 冰工厂炫菠萝雪泥
[2018-05-18 10:43:25] [INFO] 128, 插入一条repertory信息到数据仓库, id: 83703, name: 安尔乐七度空间夜A88808
[2018-05-18 10:43:25] [INFO] 129, 插入一条repertory信息到数据仓库, id: 65587, name: 绿力提子汁490ml
[2018-05-18 10:43:25] [INFO] 130, 插入一条repertory信息到数据仓库, id: 66914, name: 9.8度珠江0度精品啤酒600ml
[2018-05-18 10:43:26] [INFO] 131, 插入一条repertory信息到数据仓库, id: 67659, name: 王老吉瓶装凉茶
[2018-05-18 10:43:26] [INFO] 132, 插入一条repertory信息到数据仓库, id: 68207, name: 雪碧
[2018-05-18 10:43:26] [INFO] 133, 插入一条repertory信息到数据仓库, id: 70873, name: 甜心脆筒
[2018-05-18 10:43:26] [INFO] 134, 插入一条repertory信息到数据仓库, id: 18515, name: 怡宝4.5L
[2018-05-18 10:43:26] [INFO] 135, 插入一条repertory信息到数据仓库, id: 36270, name: 黄金叶烟
[2018-05-18 10:43:26] [INFO] 136, 插入一条repertory信息到数据仓库, id: 41931, name: 立白透明皂 101g
[2018-05-18 10:43:26] [INFO] 137, 插入一条repertory信息到数据仓库, id: 82757, name: 二宝香橙及柠檬夹心果汁糖
[2018-05-18 10:43:26] [INFO] 138, 插入一条repertory信息到数据仓库, id: 84119, name: 小食
[2018-05-18 10:43:26] [INFO] 139, 插入一条repertory信息到数据仓库, id: 31455, name: 南京(炫赫门)
[2018-05-18 10:43:26] [INFO] 140, 插入一条repertory信息到数据仓库, id: 33753, name: 四洲原味虾条80g
[2018-05-18 10:43:26] [INFO] 141, 插入一条repertory信息到数据仓库, id: 33826, name: 美好时光海苔原味
[2018-05-18 10:43:26] [INFO] 142, 插入一条repertory信息到数据仓库, id: 76297, name: 绿箭口香糖条装
[2018-05-18 10:43:26] [INFO] 143, 插入一条repertory信息到数据仓库, id: 77943, name: 雪糕
[2018-05-18 10:43:26] [INFO] 144, 插入一条repertory信息到数据仓库, id: 79693, name: 4.5g6束紫菜芥辣
[2018-05-18 10:43:26] [INFO] 145, 插入一条repertory信息到数据仓库, id: 65401, name: （非油炸）火鸡面
[2018-05-18 10:43:26] [INFO] 146, 插入一条repertory信息到数据仓库, id: 82964, name: 62g盐焗鸡翅（香辣）
[2018-05-18 10:43:26] [INFO] 147, 插入一条repertory信息到数据仓库, id: 73496, name: 铜锣烧
[2018-05-18 10:43:26] [INFO] 148, 插入一条repertory信息到数据仓库, id: 68225, name: 锦加兴潮汕酥饼
