store_id,name,count
6971328500067,绿豆饼6个装,6
6956215158880,绿爽盘,2
6901584030305,张裕白兰地（三星）700ml,15
4891338010559,黑人茶倍健牙膏140G,9
6970726581111,苏老爹啤酒兰花豆175克（原味）,3
6923644267070,奶特香草口味牛奶,2
6925696402461,三湘古镇猪蹄,1
6923238590478,客联盟椰子汁,1
6957288300299,龙岩泡鸭爪（酸辣味）,3
6971295510090,广之恋麻辣鸡翅132克,1
6949792009737,鑫版图双爪68克,2
6922507804261,玉米风味挂面,7
6955350788990,鳕鱼片,1
6954877900366,环保碗,12
6920090600628,1元-香辣毛豆,2
6924187858138,洽洽蜂蜜黄油瓜子,9
6917935002907,合味道五香牛肉味（大）,12
6907938050371,金芙果仁夹心巧克力角,2
6931696410429,迷你山楂12粒,1
6937519000013,果茶之恋,1
6901028187336,黄鹤楼(硬8度),14
6925406700016,水果吸之冻,1
6953645900140,18g辣腮咯酱香味香脖,4
6925678103690,好心肠,1
6933441800134,湘阁酱鸭翅,1
6935768980148,口水辣翅,4
6924882486612,美年达橙味碳酸汽水,1
6918551810648,摩爵香草味雪糕,5
6924760701660,亿奇心情绿豆味冰棍60g,1
6923090702019,蓝可乐椰果饮料,1
6904417012462,猫,1
6934166500064,汪之洋天然矿泉水,8
946623701747,冰豆饼90克,2
6931683638997,盐焗鸡肉丸（辣味),2
6953601802334,麻辣脆虾,2
6901845041705,格力高百醇草莓香草味注心饼干48g,7
6901028207492,利群（软红长嘴小包）,4
6921836500462,金丝肉松蛋糕,1
6901028006859,双喜（软盛世好日子）小盒,5
6924083401773,蓝带银质640啤酒,1
6907938200134,金芙纤麦 盘,7
6926265339409,薯条－番茄口味9g,3
6928196811955,金硕葡萄干108克,3
6956060519171,妙滋味亲嘴鱼老坛酸菜风味鱼,1
6921014085194,海珠啤酒600ml,2
6901668005724,奥利奥夹心轻甜味116g,8
6924760720012,瓜子王脆皮冰棍,4
6927149100153,长乐香村面包90克（多样共）,1
6947729700252,（百香公举）百香果果汁饮料,3
6933311067636,68克多味花生(五香味),6
6901028120692,利群（软长嘴小包）,13
6937221717056,贤哥红烧素鱼片109克,5
6922956301021,路路鸭脖,2
6924513905086,荷氏维生素C水果糖什果味,6
6942477600335,欧阳木林七仔豌豆130克,1
6937221706739,125g贤哥南乳花生牛肉味,6
6938497700094,盼盼香蕉味酥,8
6958646000035,香辣鱼排,3
6971305230147,花生牛轧糖,2
6923213213934,闽香金针菇笋丝70g,1
6932749320016,二联收据,2
6970716690021,甘师傅一根葱,5
6907992822938,偏爱红豆雪糕,8
6932850200122,单晶冰糖,4
6911920279343,水口桥咸干花生蒜香味100克,3
6911316730014,阿尔卑斯,8
922359500595,2元大面包,1
6933641100041,澳美思蛋黄派,3
6924810801319,卡士鲜酪乳原味,10
6959511330097,3008方巾,1
6934513401488,幺六吧麻辣花生168克,1
6956972600011,金典,3
6941368600218,酷我营养多儿童成长型乳饮品200g草莓味,3
6914557183403,50g珍珍薯片(热辣味),11
6902083914318,娃哈哈大红枣枸杞酸奶450ml,7
7622100855194,黑冰,8
927073420082,笔记本,1
6901754050119,乌江酱香榨菜,8
6950872101005,喜百年龙口粉丝160克,1
6956269900084,鲜桂园双爪128克,1
6933641100034,澳美思  蟹黄派45克,1
6970903600017,龟苓膏 奶片,1
6931115100016,广基隆蒜香南乳花生165克,4
6902312302640,榄菊蚊香艾草型3+1家庭特惠装,8
6939485921989,可口爽香辣萝卜脆100克,2
8801039280027,海牌海苔2克*10,5
6923644284329,蒙牛酷爱纯脆草莓香草口味脆皮雪糕,4
6903148054215,佳洁士3D炫白双效牙膏120克,10
6970664240040,法式伯爵奶茶（抹茶味）,2
6927985500445,磁铁,3
6939343100051,狂跳,1
6901028084918,长城纯雅 薄荷,8
6947093180087,银城湘味酱鸭脖,9
6924810802217,卡士1,9
6921294302387,康師傅冰红茶250ml,7
6920180218382,新奇士橙汁汽水,4
6920180210775,屈臣氏苏打水,7
6911316375604,阿尔卑斯草莓味夹心硬糖36g,4
6925678103126,22g鱼豆腐-烧烤味,3
6938606082332,C-8233 170ML休闲胶杯50只(两排礼品装),3
6931865103725,随意香芋雪泥,6
6900082020139,110g公仔特式香辣酱炒面王,8
6926032327158,"标准型剪刀(6.7"")",1
6937221717353,贤哥名嘴1哥豆香煎卷109克,5
6936768005336,嘉利是白玉咸干花生205克,4
6957354260014,阿华田麦芽乳饮品可可味250mL,5
6931754805938,22g魔芋素毛肚奥尔良风味,1
6970441500039,170克桃李豆沙面包,3
6932430202119,四洲原味虾条40克,3
6926104928689,31°鲜16g鱼豆腐-烧烤味,3
6937221702496,贤哥微辣脆笋90克,2
6956972670267,哆辣咪-哆辣面,1
6912398302113,红荔牌红米酒出口装500ml/29%,9
6921612782792,棉花糖,1
6932801903096,全球通韩式肉松卷,2
4004591037120,凯旋啤酒500ml,3
6970441500190,70克桃李铀锣烧豆沙,3
6901028345965,雄师,10
6937281102601,肯的乐汽水糖7g,2
6901028076555,牡丹（软金）,1
6907878500233,雪碧零卡 500毫升 PET  瓶,9
6920818366294,东湖陈醋420ml,3
6927073408400,16K60型时尚车线本,2
6970441500244,100克桃李红豆烧面包,2
4250594207842,费尔德堡黑啤500ml,5
6920293900099,韭菜丝 盘,1
7622100916321,万宝路爆珠,12
6958833300016,客家 小年糕200克,3
6935258819637,灵芝牌鲜脆菜丝,1
6920153605225,合佳合鲅鱼丝48克,2
6901285991479,饮用纯净水,4
6923830301304,鸿福堂冻拧茶,6
6911316582002,"阿尔卑斯乐嚼Q混合口味橡皮糖挂板装（草莓牛奶味，葡萄牛奶味, 香橙牛奶味，蜜桃牛奶味）",6
6911988013231,45g可比克薯片爽口青瓜味,10
